Year,Month,total_estimated_cost
2018.0,3,10509090.0
2018.0,4,11032140.0
2018.0,5,20065780.0
2018.0,6,21388920.0
2018.0,7,25749840.0
2018.0,8,7023150.0
2018.0,9,24079170.0
2018.0,10,67884880.0
2018.0,11,72196690.0
2018.0,12,86783842.0
2019.0,1,89888060.0
2019.0,2,91064024.10000008
2019.0,3,87181374.50000016
2019.0,4,102156048.2
2019.0,5,84823800.0
2019.0,6,108520920.0
2019.0,7,146373231.0
2019.0,8,135690727.0
2019.0,9,134299472.0
2019.0,10,143813963.0
2019.0,11,139827484.0
2019.0,12,136866807.0
2020.0,1,145725939.0
2020.0,2,155336806.0
2020.0,3,102079387.0
2020.0,4,17213823.0
2020.0,5,21935598.0
2020.0,6,48506256.0
2020.0,7,45789320.0
2020.0,8,63673250.0
2020.0,9,70557132.0
2020.0,10,87010484.0
2020.0,11,72875872.0
2020.0,12,81213822.0
2021.0,1,88700320.0
2021.0,2,99308056.0
